Sample, Source,Position(mm),Absorbance, Fraction Number, Fraction Volume(ml)
747871.395,251532.868,32.21,-0.26502, , 
751499.421,251560.737,32.31,-0.275662, , 
753266.868,251471.711,32.41,-0.281745, , 
756266.447,251515.447,32.51,-0.290297, , 
758930.842,251479.395,32.61,-0.298534, , 
760830.526,251492.132,32.71,-0.304047, , 
762669.474,251461.158,32.81,-0.309756, , 
764284.421,251415.079,32.91,-0.314929, , 
765212.5,251411.526,33,-0.317692, , 
766302.105,251480.816,33.1,-0.320274, , 
768189.053,251534.711,33.2,-0.325326, , 
769502.579,251556.947,33.3,-0.328972, , 
770932.684,251752.526,33.4,-0.331402, , 
770463.842,251566.053,33.5,-0.3317, , 
772224.079,251919.526,33.6,-0.333676, , 
770805.947,251536.316,33.7,-0.332965, , 
769896.632,251537.316,33.8,-0.3303, , 
769041.737,251501.5,33.9,-0.32812, , 
768449.184,251434.579,34,-0.326984, , 
767605.816,251483.211,34.1,-0.324078, , 
766982.158,251628.289,34.2,-0.320951, , 
764438.5,251500.789,34.3,-0.314616, , 
763322.421,251600.079,34.39,-0.310439, , 
761615.026,251632.763,34.49,-0.305108, , 
758039.553,251499.026,34.59,-0.295714, , 
753917.553,251465.921,34.69,-0.28374, , 
749410.579,251604.842,34.79,-0.269003, , 
742020.868,251568.921,34.89,-0.247024, , 
730597.658,251565.947,34.99,-0.212136, , 
718355.026,251595.658,35.09,-0.17384, , 
703042.658,251590.263,35.19,-0.1254, , 
683338.711,251574.132,35.29,-0.061571, , 
661491.026,251526.789,35.38,0.011132, , 
638535.605,251580.974,35.48,0.091099, , 
616028.368,251488.237,35.58,0.171025, , 
596952.632,251468.263,35.68,0.241634,5,1.018
579724.447,251525.605,35.78,0.308051, , 
565976.895,251504.211,35.88,0.36187, , 
555678.421,251451.632,35.98,0.402725, , 
546659.237,251410.289,36.08,0.439181, , 
541537.579,251455.184,36.18,0.460767, , 
538381.316,251504.5,36.28,0.474363, , 
538072.921,251425.316,36.37,0.474944, , 
539150.447,251414.921,36.47,0.470348, , 
542163.237,251517.421,36.57,0.458725, , 
545937.658,251499.763,36.67,0.442954, , 
550375.342,251459.158,36.77,0.424372, , 
555799.5,251533.263,36.87,0.402965, , 
561667.026,251567.579,36.97,0.379639, , 
568355.132,251783.868,37.07,0.354934, , 
574104.579,251497.184,37.17,0.329719, , 
580906.579,251519.132,37.27,0.303409, , 
587863.447,251337.368,37.37,0.274991, , 
595613.842,251309.105,37.47,0.245262, , 
602457.947,251272.526,37.56,0.219223, , 
609994.395,251409.158,37.66,0.192469, , 
617247.711,251333.895,37.76,0.165194, , 
624022.395,251293.053,37.86,0.140263, , 
631425.447,251389.5,37.96,0.114585, , 
638322.447,251299.895,38.06,0.089335, , 
645634.868,251310.526,38.16,0.063796, , 
652409.553,251298.789,38.26,0.0402, , 
658605.263,251306.658,38.36,0.019, , 
665468.237,251280.842,38.46,-0.00456, , 
670801.579,251312.079,38.56,-0.022245, , 
676178.079,251313.974,38.66,-0.040193, , 
682153.053,251382.211,38.76,-0.05938, , 
687128.158,251341.132,38.86,-0.076102, , 
692426.632,251441.658,38.95,-0.092488, , 
696679.711,251458.895,39.05,-0.106115, , 
700548.868,251279.895,39.15,-0.120181, , 
704251.605,251304,39.25,-0.131828, , 
708463.026,251274.316,39.35,-0.145512, , 
713637.132,251617.737,39.45,-0.158814, , 
717653.474,251687.947,39.55,-0.170816, , 
721555.105,251898.868,39.65,-0.181133, , 
723590.974,251437.789,39.75,-0.191596, , 
727549.526,251507,39.85,-0.203255, , 
730417.789,251486,39.94,-0.212297, , 
733122.237,251409.737,40.04,-0.221297, , 
735332.737,251316.737,40.14,-0.228905, , 
738210.737,251347.316,40.24,-0.237422, , 
741287.526,251350.579,40.34,-0.246753, , 
743504.026,251310.211,40.44,-0.253833, , 
745656.026,251240.5,40.54,-0.260962, , 
748381.105,251284.342,40.64,-0.268778, , 
750618.026,251357.342,40.74,-0.274841, , 
752663.132,251250.737,40.84,-0.281919, , 
754323.263,251219.158,40.93,-0.28716, , 
756555.842,251312.921,41.03,-0.292971, , 
758426.711,251294.158,41.13,-0.298697, , 
760368.184,251351.605,41.23,-0.303936, , 
762456.053,251359.605,41.33,-0.310036, , 
763964.947,251357.763,41.43,-0.314501, , 
765575,251306.658,41.53,-0.319697, , 
767069.974,251306.868,41.63,-0.324085, , 
768218.711,251320.842,41.73,-0.327328, , 
770245.079,251390.947,41.83,-0.332628, , 
770903.868,251193.553,41.92,-0.33632, , 
772535.605,251148.447,42.02,-0.341482, , 
773234.105,251162.395,42.12,-0.343391, , 
774985.395,251195,42.22,-0.34819, , 
776476.474,251240.368,42.32,-0.35211, , 
778111.737,251338.974,42.42,-0.355961, , 
779312.868,251461.658,42.52,-0.358334, , 
779803.605,251340.632,42.62,-0.360834, , 
780938.895,251285.632,42.72,-0.364601, , 
781840.184,251202.105,42.82,-0.367944,6,1.018
783088.947,251314.026,42.92,-0.370534, , 
784121.579,251368.5,43.02,-0.373011, , 
784416.711,251260.184,43.12,-0.374828, , 
785575.711,251291.553,43.21,-0.37787, , 
786410.711,251312.816,43.31,-0.38007, , 
787264.684,251343.921,43.41,-0.382234, , 
788158.632,251327.842,43.51,-0.384932, , 
788866.263,251332.263,43.61,-0.386912, , 
789480.895,251314.579,43.71,-0.388823, , 
790132.895,251293.711,43.81,-0.390868, , 
790948.658,251275.553,43.91,-0.393353, , 
791245,251161.763,44.01,-0.395215, , 
791773.947,251162.079,44.11,-0.396716, , 
792428.842,251170.895,44.2,-0.398498, , 
793231,251190.053,44.3,-0.400603, , 
793781.316,251220.5,44.4,-0.401891, , 
794437.579,251217.895,44.5,-0.403774, , 
794891.579,251225.895,44.6,-0.404988, , 
795510.868,251165.526,44.7,-0.407282, , 
796499.711,251255.737,44.8,-0.409269, , 
797418.237,251235.658,44.9,-0.412043, , 
797283.237,251207.553,45,-0.411913, , 
798079.526,251331.974,45.1,-0.413046, , 
798725.816,251306.211,45.19,-0.415098, , 
799274.026,251302.237,45.29,-0.416678, , 
800082.789,251273.211,45.39,-0.419214, , 
799917.974,251252.579,45.49,-0.418935, , 
800463.5,251224.711,45.59,-0.420719, , 
801770.605,251397.211,45.69,-0.422846, , 
802726.921,251350.737,45.79,-0.425944, , 
802716.974,251274.211,45.89,-0.426602, , 
802891.921,251253.368,45.99,-0.427279, , 
803324.474,251263.658,46.09,-0.428399, , 
803818.947,251304.105,46.18,-0.429421, , 
803696.684,251177.711,46.28,-0.430211, , 
804160.579,251202.763,46.38,-0.431285, , 
804667.105,251234,46.48,-0.432422, , 
805258.421,251280.237,46.58,-0.433661, , 
805422.447,251217.263,46.68,-0.434684, , 
805865.526,251225.974,46.78,-0.435844, , 
805795.947,251217.921,46.88,-0.435721, , 
805884,251206.553,46.98,-0.436069, , 
806057.474,251249.816,47.08,-0.436166, , 
805646.5,251188.947,47.18,-0.435564, , 
804952.605,251157.263,47.28,-0.433908, , 
804576.474,251187.447,47.38,-0.432586, , 
804108,251219.105,47.48,-0.430992, , 
803389.5,251185,47.57,-0.429285, , 
802452.342,251148.789,47.67,-0.426983, , 
802302.868,251321.237,47.77,-0.425019, , 
800229.263,251173.579,47.87,-0.420518, , 
798770.711,251192.395,47.97,-0.416244, , 
797322.211,251119.816,48.07,-0.41281, , 
796023.395,251071.974,48.17,-0.409569, , 
795710.711,251302.395,48.27,-0.406621, , 
795214.5,251483.342,48.37,-0.403597, , 
793636.158,251154.132,48.47,-0.402074, , 
793210.289,251112.132,48.56,-0.401242, , 
793006,251094.842,48.66,-0.400818, , 
792734.526,251100,48.76,-0.400001, , 
793516.158,251455.237,48.86,-0.399037, , 
792572.211,251133.079,48.96,-0.399244, , 
792959.763,251155.368,49.06,-0.400144, , 
793278.737,251134.579,49.16,-0.401236, , 
793883.474,251147.553,49.26,-0.402834, , 
794082.316,250983.105,49.36,-0.404872, , 
795473.553,251188.895,49.46,-0.406967, , 
796857.737,251418.579,49.55,-0.408822, , 
796785.5,251150.184,49.65,-0.411022, , 
797702.789,251143.526,49.75,-0.413671, , 
798397.711,251067.211,49.85,-0.416315,7,1.003
799030.974,250967.632,49.95,-0.418992, , 
800362.447,251122.921,50.05,-0.421346, , 
801471.842,251222.579,50.15,-0.423571, , 
802152.5,251188.289,50.25,-0.425788, , 
802621,251107.105,50.35,-0.42783, , 
803483.316,251061.974,50.45,-0.430651, , 
804576.237,251139.158,50.54,-0.433018, , 
805521.658,251107.947,50.64,-0.435941, , 
806976.447,251326.132,50.74,-0.438047, , 
807072,251240.053,50.84,-0.439084, , 
807099.132,251161.105,50.94,-0.439867, , 
807774.105,251174.474,51.04,-0.441628, , 
808475.079,251245.974,51.15,-0.44294, , 
808879,251282.921,51.25,-0.443733, , 
809193.395,251237.684,51.34,-0.445013, , 
809373.632,251147.316,51.44,-0.446324, , 
810241.079,251198.132,51.54,-0.448279, , 
810751.632,251198.684,51.64,-0.449692, , 
810850.789,251140.842,51.74,-0.450485, , 
810913.974,251047.842,51.84,-0.451494, , 
811599.289,251121.5,51.94,-0.452735, , 
812070.211,251145.974,52.04,-0.453821, , 
812180.553,251059.289,52.14,-0.454904, , 
812860,251111.342,52.24,-0.456319, , 
813511.132,251202.553,52.34,-0.457304, , 
813656.579,251098,52.44,-0.458643, , 
814389.763,251093.211,52.54,-0.460713, , 
814710.5,251074.789,52.64,-0.461764, , 
814791.526,251067.632,52.73,-0.462052, , 
815297.342,251081.895,52.83,-0.463321, , 
815636.237,251032.632,52.93,-0.464697, , 
816172.842,251070.763,53.03,-0.465836, , 
816456.553,251073.974,53.13,-0.466589, , 
817222.105,251211.289,53.23,-0.467468, , 
817172.974,251104.632,53.33,-0.468288, , 
817417.421,251057.184,53.43,-0.469386, , 
817984.737,251065.711,53.53,-0.470871, , 
818376.553,251059.658,53.63,-0.472003, , 
818708.289,251112.421,53.72,-0.472442, , 
818884.789,251120.316,53.82,-0.472857, , 
819308.974,251138.947,53.92,-0.473855, , 
819170.368,251080.105,54.02,-0.474002, , 
819202.579,251028.132,54.12,-0.474556, , 
819456.842,251050.921,54.22,-0.47505, , 
819587.105,251010.711,54.32,-0.475769, , 
819612.816,250904.579,54.42,-0.476791, , 
820095.816,250956.263,54.52,-0.477653, , 
819914.974,250886.816,54.62,-0.47778, , 
820008.184,250905.684,54.71,-0.477866, , 
820094.474,250911.579,54.81,-0.47805, , 
819985.684,250962.447,54.91,-0.477295, , 
819417.921,250939.132,55.01,-0.475946, , 
820179.711,251365.868,55.11,-0.474213, , 
818630.947,251173.579,55.21,-0.471682, , 
816925.026,251004.368,55.31,-0.468504, , 
815349.368,251020.684,55.41,-0.464013, , 
813833.974,251070.342,55.51,-0.459381, , 
811874.421,251066.658,55.61,-0.453989, , 
809590.947,251009.789,55.7,-0.44816, , 
807347.105,250995.053,55.8,-0.442047, , 
805333.447,251045,55.9,-0.435979, , 
803493.211,251093.816,56,-0.430393, , 
801266.737,250979.158,56.1,-0.425176, , 
799581.053,250948.526,56.2,-0.420712, , 
798493.632,251011.684,56.3,-0.417083, , 
797597.5,250987.184,56.4,-0.414775, , 
796804.237,250907.711,56.5,-0.413249, , 
797218.553,251180.921,56.6,-0.411969, , 
797785.263,251411.368,56.7,-0.411505, , 
796932.579,251111.684,56.8,-0.411782, , 
796836.263,251031.868,56.9,-0.412226, , 
797321.816,251083.921,57,-0.41313,8,1.018
797603.026,251039.737,57.09,-0.41432, , 
798349.184,251078.711,57.19,-0.416075, , 
799206.5,251142.605,57.29,-0.417917, , 
799824.447,251095.947,57.39,-0.420075, , 
800381.895,251067.553,57.49,-0.421897, , 
800931.184,251030.579,57.59,-0.423773, , 
801748.105,251103.5,57.69,-0.425413, , 
802088.658,251062.921,57.79,-0.426733, , 
803023.553,251199.763,57.89,-0.428128, , 
803542.368,251163.947,57.98,-0.429902, , 
803884.474,251120.026,58.08,-0.431254, , 
804221.974,251050.921,58.18,-0.432818, , 
804776.684,251043.421,58.28,-0.434437, , 
805484.289,251068.632,58.39,-0.436189, , 
806051.842,251089.553,58.49,-0.437586, , 
806532.447,251092.395,58.58,-0.438902, , 
807977.263,251371.421,58.68,-0.44043, , 
808685.053,251437.053,58.78,-0.441814, , 
807841.368,251062.579,58.88,-0.442819, , 
807993.395,250974.921,58.98,-0.444028, , 
809106.658,251164.895,59.08,-0.445424, , 
809851.632,251217.158,59.18,-0.447027, , 
809919.342,251052.474,59.28,-0.44869, , 
810451.526,251069.921,59.38,-0.450012, , 
810647.263,250999.658,59.48,-0.451186, , 
811297.526,251018.895,59.57,-0.452818, , 
811840.316,251079.132,59.67,-0.453783, , 
811931.868,251046.684,59.77,-0.454327, , 
812113.579,251041.079,59.87,-0.454881, , 
812298.553,250986.895,59.97,-0.45588, , 
812688.368,251019.632,60.07,-0.456666, , 
813173.842,251055.421,60.17,-0.457689, , 
813574.553,251086.184,60.27,-0.458522, , 
813977.158,251144.474,60.37,-0.459113, , 
813423.474,250909.053,60.47,-0.459692, , 
813878.263,250984.395,60.56,-0.460274, , 
